Store,Area,Zone,Sku,Qty
071,01,101,846394,0001
071,01,101,902098,0001
071,01,101,561498,0001
071,01,101,520031,0001
071,01,101,607721,0001
071,01,101,607705,0001
071,01,101,728253,0001
071,01,101,520007,0001
071,01,101,607770,0001
071,01,101,846394,0001
071,01,101,520031,0001
071,01,101,902130,0001
071,01,101,607697,0001
071,01,101,607721,0001
071,01,101,728253,0001
071,01,101,793406,0001
071,01,101,728279,0001
071,01,101,561548,0001
071,01,101,520056,0001
071,01,101,846428,0001
071,01,101,793406,0001
071,01,101,846410,0001
071,01,101,538140,0001
071,01,101,728279,0001
071,01,101,561480,0001
071,01,101,607713,0001
071,01,101,607721,0001
071,01,101,561548,0001
071,01,101,728261,0001
071,01,101,607689,0001
071,01,101,519975,0001
071,01,101,793398,0001
071,01,101,607762,0001
071,01,101,607713,0001
071,01,101,846428,0001
071,01,101,607713,0001
071,01,101,538173,0001
071,01,101,846402,0001
071,01,101,902130,0001
071,01,101,561498,0001
071,01,101,793406,0001
071,01,101,846394,0001
071,01,101,902106,0001
071,01,101,902205,0001
071,01,101,728238,0001
071,01,101,561548,0001
071,01,101,607689,0001
071,01,101,728220,0001
071,01,101,607770,0001
071,01,101,561498,0001
071,01,101,520023,0001
071,01,101,538157,0001
071,01,101,538173,0001
071,01,101,607713,0001
071,01,101,520015,0001
071,01,101,607739,0001
071,01,101,538157,0001
071,01,101,561530,0001
071,01,101,728212,0001
071,01,101,607770,0001
071,01,101,607697,0001
071,01,101,728295,0001
071,01,101,561498,0001
071,01,101,561548,0001
071,01,101,561498,0001
071,01,101,561498,0001
071,01,101,520064,0001
071,01,101,607762,0001
071,01,101,728295,0001
071,01,101,561498,0001
071,01,101,538165,0001
071,01,101,607697,0001
071,01,101,728246,0001
071,01,101,561555,0001
071,01,101,561498,0001
071,01,101,607770,0001
071,01,101,561506,0001
071,01,101,728238,0001
071,01,101,728220,0001
071,01,101,520031,0001
071,01,101,728220,0001
071,01,101,561555,0001
071,01,101,766592,0001
071,01,101,766592,0001
071,01,101,793398,0001
071,01,101,793398,0001
071,01,101,766592,0001
071,01,101,902205,0001
071,01,101,846410,0001
071,01,101,793398,0001
071,01,101,793398,0001
071,01,101,793398,0001
071,01,101,561506,0001
071,01,101,728287,0001
071,01,101,728253,0001
071,01,101,728220,0001
071,01,101,561498,0001
071,01,101,728295,0001
071,01,101,561506,0001
071,01,101,561506,0001
071,01,101,728212,0001
